uri,prefLabel,prefLabel_en,casNumber,ecNumber,altLabel,altLabel_en,comment,definition,broader,broadMatch,collections,exactMatch,narrowMatch,notation,pubchem,source,theme,topConceptOf,inScheme,belongsTo,validatiestatus
1_2-dichloorethaan_vinylchloride,"som van 1,2-dichloorethaan en vinylchloride",,,,,,,,,,collectie:water,,,"1,2-dichloorethaan+vinylchloride",,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
111cea_112cea,"Som 1,1,1-Trichloorethaan en 1,1,2-Trichloorethaan",,,,,,,,,,collectie:water,,chemische_stof:UBOXGVDOUJQMTN-UHFFFAOYSA-N|chemische_stof:UOCLXMDMGBRAIB-UHFFFAOYSA-N,"(111CEa,112CEa)",,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
11cea__12cea,"Som van 1,1 dichloorethaan + 1,2 dichloorethaan",,,,,,,,,,collectie:water,,chemische_stof:SCYULBFZEHDVBN-UHFFFAOYSA-N|chemische_stof:WSLDOOZREJYCGB-UHFFFAOYSA-N,"(11CEa, 12CEa)",,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
1235_1245cbz,"1,2,3,5+1,2,4,5-Tetrachloorbenzeen",,,,,,,,,,collectie:water,,chemische_stof:JHBKHLUZVFWLAG-UHFFFAOYSA-N|chemische_stof:QZYNWJQFTJXIRN-UHFFFAOYSA-N,1235+1245CBz,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
12cbz_13cbz,"Som van 1,2 + 1,3 Dichloorbenzeen",,,,,,,,,,collectie:water,,chemische_stof:RFFLAFLAYFXFSW-UHFFFAOYSA-N|chemische_stof:ZPQOPVIELGIULI-UHFFFAOYSA-N,12CBz+13CBz,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
12cbz_14cbz,"som van 1,2-dichloorbenzeen en 1,4-dichloorbenzeen",,,,,,,,,,collectie:water,,chemische_stof:RFFLAFLAYFXFSW-UHFFFAOYSA-N|chemische_stof:OCJBOOLMMGQPQU-UHFFFAOYSA-N,12CBz+14CBz,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
1buteen__,"1-Buteen + 1,3-Butadieen",,,,,,,,,,collectie:water,,chemische_stof:KAKZBPTYRLMSJV-UHFFFAOYSA-N,1Buteen (+),,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
1c2_3_4nibzs,Chloornitrobenzenen,,,,,,,,,,collectie:water,,chemische_stof:BFCFYVKQTRLZHA-UHFFFAOYSA-N|chemische_stof:BGDCQZFFNFXYQC-UHFFFAOYSA-N|chemische_stof:CMVQZRLQEOAYSW-UHFFFAOYSA-N|chemische_stof:CRHGSCXKJPJNAB-UHFFFAOYSA-M|chemische_stof:CZGCEKJOLUNIFY-UHFFFAOYSA-N|chemische_stof:KGSQRFPDZCBVBS-UHFFFAOYSA-N|chemische_stof:KMAQZIILEGKYQZ-UHFFFAOYSA-N|chemische_stof:LKPLKUMXSAEKID-UHFFFAOYSA-N|chemische_stof:LLYXJBROWQDVMI-UHFFFAOYSA-N|chemische_stof:MTBYTWZDRVOMBR-UHFFFAOYSA-N|chemische_stof:NSMZCUAVEOTJDS-UHFFFAOYSA-N|chemische_stof:NTBYINQTYWZXLH-UHFFFAOYSA-N|chemische_stof:NWESJZZPAJGHRZ-UHFFFAOYSA-N|chemische_stof:OQMBBFQZGJFLBU-UHFFFAOYSA-N|chemische_stof:OSAYFGJUEOYRHY-UHFFFAOYSA-N|chemische_stof:QUIMTLZDMCNYGY-UHFFFAOYSA-N|chemische_stof:RNABGKOKSBUFHW-UHFFFAOYSA-N|chemische_stof:RZKKOBGFCAHLCZ-UHFFFAOYSA-N|chemische_stof:SQFLFRQWPBEDHM-UHFFFAOYSA-N|chemische_stof:VITSNECNFNNVQB-UHFFFAOYSA-N|chemische_stof:VYZAHLCBVHPDDF-UHFFFAOYSA-N|chemische_stof:XCSNRORTQRKCHB-UHFFFAOYSA-N|chemische_stof:XQTLDIFVVHJORV-UHFFFAOYSA-N,1C2+3+4NiBzS,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
2_3_4cfol,"som 2-chloorfenol, 3-chloorfenol en 4-chloorfenol",,,,,,,,,,collectie:water,,chemische_stof:ISPYQTSUDJAMAB-UHFFFAOYSA-N|chemische_stof:HORNXRXVQWOLPJ-UHFFFAOYSA-N|chemische_stof:WXNZTHHGJRFXKQ-UHFFFAOYSA-N,2+3+4CFol,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
23_35myfol_4eyfol,"2,3+3,5-Dimethylfenol+4-Ethylfenol",,,,,,,,,,collectie:water,,chemische_stof:HXDOZKJGKXYMEW-UHFFFAOYSA-N|chemische_stof:QWBBPBRQALCEIZ-UHFFFAOYSA-N|chemische_stof:QWBBPBRQALCEIZ-UHFFFAOYSA-N,23+35MyFol+4EyFol,,,gemet:9214|gemet:2912,conceptscheme:sommatie_stoffen,conceptscheme:sommatie_stoffen,,
